iso3_o,iso3_d,baseline modeled trade,experiment trade,trade change (percent),baseline observed trade,experiment observed trade,trade change (observed level)
ARE,ARE,112644395.76029319,123040418.23993121,9.229063203251336,,,
ARE,BHR,2416792.391455134,2943467.751543548,21.792329450826617,991765.875,1207894.7618608733,216128.88686087332
ARE,IND,77721684.73942049,84963074.26872404,9.317077407137976,18184986.0,19879295.222097207,1694309.2220972069
ARE,IRQ,10336127.68792846,11058913.651233023,6.992811864628013,,,
ARE,ISR,7843579.058896227,9858909.142344257,25.694011220072202,,,
ARE,JOR,1422173.2866525992,1772467.0568140266,24.630878209358126,697829.688,869711.2685600237,171881.58056002378
ARE,MAR,1771372.8706321546,2231258.4767478835,25.962100568448257,626327.375,788935.117985222,162607.74298522202
ARE,OMN,5050312.2001354145,6146416.372943388,21.70369136344846,10656630.0,12969512.084944656,2312882.084944656
ARE,QAT,17064227.39641181,18659771.515582312,9.350227713831368,2743816.75,3000369.864175247,256553.11417524703
ARE,SAU,29389269.564050455,31683946.960433047,7.8078748822988375,7199059.5,7761153.058462248,562093.5584622482
ARE,USA,83083335.42203,106134282.63036335,27.74436906179053,3166031.5,4044426.963972543,878395.4639725429
BHR,ARE,2416792.3915107236,2943467.7515435508,21.79232944802533,657722.75,801055.8585346121,143333.1085346121
BHR,BHR,4729361.94152493,4462229.754302854,-5.64837689576245,,,
BHR,IND,4593557.469297941,5599108.643691301,21.89046683565373,148960.844,181569.0681539299,32608.224153929885
BHR,IRQ,910275.0668040758,1085947.8669123554,19.298869815808185,43941.758,52422.020671197475,8480.262671197474
BHR,ISR,930086.4290890365,905664.4736816185,-2.625772685592016,,,
BHR,JOR,170560.72954377168,164677.45204944306,-3.4493740206585897,38320.754,36998.92786700351,-1321.826132996488
BHR,MAR,184539.05887932103,180076.74603388645,-2.4180858364259388,85262.242,83200.52780237878,-2061.714197621215
BHR,OMN,486994.77748986887,459153.0709501195,-5.717044171039092,292638.688,275908.40494549077,-16730.28305450926
BHR,QAT,2664939.5081405314,3249292.2536376882,21.927430011531126,542974.5,662034.8534679611,119060.35346796107
BHR,SAU,6425003.083295668,7723347.110194942,20.20767943714817,2257952.0,2714231.7020046758,456279.70200467575
BHR,USA,8346399.367141751,8259815.862908171,-1.037375524761534,875054.0,865976.4039755532,-9077.596024446771
IND,ARE,77721684.74416754,84963074.26872398,9.317077400461084,30603314.0,33454648.452486143,2851334.4524861425
IND,BHR,4593557.469472845,5599108.643691295,21.89046683101249,475564.344,579667.5989834421,104103.25498344208
IND,IND,1347835838.1939483,1474601989.3343275,9.405162524112823,,,
IND,IRQ,38354365.5955154,41069480.3960579,7.079024143368864,973319.5,1042221.0223971172,68901.52239711722
IND,ISR,33499233.45074835,42140458.69899923,25.795292483201116,2913510.5,3665059.0550037753,751548.5550037753
IND,JOR,5956053.19961132,7429062.752827499,24.731302825036966,477816.812,595987.1347246575,118170.32272465754
IND,MAR,10188578.896435969,12844089.126799807,26.063597851637123,369182.188,465404.34882019495,96222.16082019493
IND,OMN,18615949.190607194,22674553.25617359,21.801757321158735,2461358.25,2997977.60246932,536619.35246932
IND,QAT,27905912.716735534,30539767.511385802,9.438339542539712,770659.75,843397.2339226877,72737.48392268771
